"campaign","trait","estimate","species","sample_id","date","year"
"3","T95",50.979672913282,"ash","FREX_05","2020-08-14","2024"
"3","T5",47.5721579872868,"ash","FREX_06","2020-08-14","2024"
"3","T50",49.5696574864213,"ash","FREX_06","2020-08-14","2024"
"3","T95",50.7291897454681,"ash","FREX_06","2020-08-14","2024"
"3","T5",48.7333467755345,"ash","FREX_07","2020-08-14","2024"
"3","T50",50.1846456835949,"ash","FREX_07","2020-08-14","2024"
"3","T95",51.0194128867031,"ash","FREX_07","2020-08-14","2024"
"3","T5",49.246457535916,"ash","FREX_08","2020-08-14","2024"
"3","T50",50.4389328367238,"ash","FREX_08","2020-08-14","2024"
"3","T95",51.12193647325,"ash","FREX_08","2020-08-14","2024"
"4","T5",49.4327040005138,"beech","FASY_01","2020-09-23","2024"
"4","T50",55.4021979967362,"beech","FASY_01","2020-09-23","2024"
"4","T95",59.0692300233379,"beech","FASY_01","2020-09-23","2024"
"4","T5",53.0188293579931,"beech","FASY_02","2020-09-23","2024"
"4","T50",56.4837083317601,"beech","FASY_02","2020-09-23","2024"
"4","T95",58.5300464614906,"beech","FASY_02","2020-09-23","2024"
"4","T5",48.5650508470747,"beech","FASY_03","2020-09-23","2024"
"4","T50",55.7988023120585,"beech","FASY_03","2020-09-23","2024"
"4","T95",60.3287135187784,"beech","FASY_03","2020-09-23","2024"
"4","T5",51.201462145704,"beech","FASY_04","2020-09-23","2024"
"4","T50",56.7017461434177,"beech","FASY_04","2020-09-23","2024"
"4","T95",60.0493479348935,"beech","FASY_04","2020-09-23","2024"
"4","T5",50.5438618956561,"ash","FREX_05","2020-09-23","2024"
"4","T50",51.409929352742,"ash","FREX_05","2020-09-23","2024"
"4","T95",51.9033030505061,"ash","FREX_05","2020-09-23","2024"
"4","T5",50.3284431432235,"ash","FREX_06","2020-09-23","2024"
"4","T50",51.3151832797034,"ash","FREX_06","2020-09-23","2024"
"4","T95",51.8783656887458,"ash","FREX_06","2020-09-23","2024"
"4","T5",50.1373947174861,"ash","FREX_07","2020-09-23","2024"
"4","T50",51.2509789395567,"ash","FREX_07","2020-09-23","2024"
"4","T95",51.8878235831952,"ash","FREX_07","2020-09-23","2024"
"4","T5",49.7158001519901,"ash","FREX_08","2020-09-23","2024"
"4","T50",51.1015072696039,"ash","FREX_08","2020-09-23","2024"
"4","T95",51.897395748287,"ash","FREX_08","2020-09-23","2024"
