SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,08:44:17,2024-07-11,Hainich_TSM,Sharath,,007,020,15min,0.002507,2.915515,0.002505,0.023356,2.097821,2.097384,3.003882,0.906061,21.028994,21.033371,30.117805,0.298530,1.800000,PSF-01225_20240711084417_d70,138.328308,650.218262,0.787259,0.000000,0.000000,0.000000,0.5,0.80,2.225912,1.000000,68.40,68.39,24.40,24.05,24.05,99.74,155.9,137.9,11.6,7,4.080,08:43:58,2024-07-11,0.11,1,-0.000,-0.001,0.009,-0.150,-0.459,-1.053,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.461906,2.447819,1.659901,0.898512,0.279381,-0.002937,0.383095,0.112246,138.328308,0.000209,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084417_d70,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
10,08:46:55,2024-07-11,Hainich_TSM,Sharath,,001,025,15min,0.015879,2.916695,0.015793,0.144466,2.105987,2.103290,2.994878,0.888891,21.091166,21.118212,30.031744,0.298530,1.800000,PSF-01225_20240711084655_5f2,141.759033,630.556213,0.775184,0.000000,0.000000,0.000000,0.5,0.80,2.341974,1.000000,67.87,67.78,24.59,24.00,24.00,99.72,156.1,131.1,16.0,8,4.079,08:43:58,2024-07-11,0.11,1,-0.003,-0.001,0.010,-0.245,-0.274,-1.192,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.461158,2.447150,1.661135,0.881740,0.277215,-0.005806,0.394993,0.112588,141.759033,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084655_5f2,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
11,08:47:35,2024-07-11,Hainich_TSM,Sharath,,002,025,15min,0.016076,2.915823,0.015987,0.143194,2.119657,2.116982,2.990005,0.870348,21.227505,21.254330,29.981527,0.298530,1.800000,PSF-01225_20240711084735_04c,142.816895,607.689148,0.764984,0.000000,0.000000,0.000000,0.5,0.80,2.156116,1.000000,68.16,68.07,24.63,23.97,23.97,99.73,156.0,146.1,6.3,7,4.078,08:43:58,2024-07-11,0.11,1,0.001,-0.001,0.012,0.366,0.122,0.301,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.461502,2.447496,1.660223,0.919339,0.276803,-0.006559,0.397883,0.112230,142.816895,0.000210,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084735_04c,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
12,08:48:28,2024-07-11,Hainich_TSM,Sharath,,003,025,15min,0.040080,2.916132,0.039536,0.356537,2.109395,2.102736,2.985765,0.876369,21.084654,21.151432,29.939005,0.298530,1.800000,PSF-01225_20240711084828_3e1,113.110184,562.235718,0.798821,0.000000,0.000000,0.000000,0.5,0.80,2.264425,1.000000,67.65,67.43,24.67,23.95,23.95,99.73,156.0,125.5,19.5,7,4.075,08:43:58,2024-07-11,0.11,1,-0.000,-0.001,-0.004,0.101,-0.148,-0.119,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460725,2.446866,1.660546,0.868234,0.276302,-0.007366,0.401747,0.112259,113.110184,0.000208,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084828_3e1,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
13,08:49:57,2024-07-11,Hainich_TSM,Sharath,,004,025,15min,0.028690,2.912229,0.028411,0.267619,2.103062,2.098047,3.018371,0.915309,21.037222,21.087505,30.265352,0.298530,1.800000,PSF-01225_20240711084957_79c,131.767273,619.790894,0.787400,0.000000,0.000000,0.000000,0.5,0.80,2.649107,1.000000,67.18,67.02,24.74,24.13,24.13,99.73,155.5,146.6,5.7,8,4.073,08:43:58,2024-07-11,0.11,1,0.001,0.001,-0.002,-0.031,-0.004,-0.057,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460219,2.446289,1.656485,0.920528,0.275578,-0.006035,0.408229,0.113195,131.767273,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711084957_79c,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
14,08:50:59,2024-07-11,Hainich_TSM,Sharath,,005,025,15min,0.010027,2.915322,0.009993,0.091080,2.115011,2.113309,3.000708,0.885697,21.189611,21.206680,30.087336,0.298530,1.800000,PSF-01225_20240711085059_2ac,133.254654,525.610352,0.746476,0.000000,0.000000,0.000000,0.5,0.80,2.519887,1.000000,67.38,67.33,24.78,24.03,24.03,99.73,155.9,126.8,18.6,8,4.072,08:43:58,2024-07-11,0.11,1,0.001,-0.000,-0.005,-0.173,-0.154,-0.089,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460587,2.446532,1.659700,0.871463,0.275095,-0.007689,0.412674,0.113215,133.254654,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085059_2ac,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
15,08:52:26,2024-07-11,Hainich_TSM,Sharath,,006,025,15min,-0.003385,2.915934,-0.003389,-0.030605,2.108171,2.108742,2.985861,0.877690,21.142605,21.136873,29.936743,0.298530,1.800000,PSF-01225_20240711085226_f65,129.942291,483.285797,0.731127,0.000000,0.000000,0.000000,0.5,0.80,2.235665,1.000000,66.93,66.94,24.84,23.95,23.95,99.74,156.0,148.5,4.8,8,4.069,08:43:58,2024-07-11,0.11,1,0.000,0.001,-0.004,0.027,0.249,0.210,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460117,2.445969,1.660339,0.925381,0.274442,-0.009350,0.418947,0.112653,129.942291,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085226_f65,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
16,08:54:36,2024-07-11,Hainich_TSM,Sharath,,007,025,15min,0.020716,2.915115,0.020570,0.191718,2.129267,2.125683,3.034796,0.905529,21.312294,21.348225,30.427143,0.298530,1.800000,PSF-01225_20240711085436_f48,140.525940,573.266724,0.754868,0.000000,0.000000,0.000000,0.5,0.80,2.262867,1.000000,67.18,67.07,24.95,24.22,24.22,99.74,155.9,143.6,7.9,7,4.067,08:54:16,2024-07-11,0.18,1,-0.004,-0.000,0.002,-0.216,-0.563,-1.690,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460254,2.446181,1.659484,0.913002,0.273316,-0.007411,0.428128,0.112547,140.525940,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085436_f48,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
17,08:55:07,2024-07-11,Hainich_TSM,Sharath,,007,025,15min,0.067310,2.914518,0.065791,0.621378,2.137310,2.125690,3.054845,0.917535,21.311565,21.428066,30.627012,0.298530,1.800000,PSF-01225_20240711085507_2c0,133.511780,456.266296,0.707382,0.000000,0.000000,0.000000,0.5,0.80,2.179955,1.000000,67.31,66.95,24.98,24.33,24.33,99.74,155.8,127.1,18.4,8,4.066,08:54:16,2024-07-11,0.18,1,-0.001,-0.000,-0.002,-0.031,-0.107,-0.348,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460104,2.446338,1.658862,0.872023,0.272986,-0.006487,0.430262,0.112695,133.511780,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085507_2c0,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
18,08:56:09,2024-07-11,Hainich_TSM,Sharath,,008,025,15min,0.010987,2.913206,0.010946,0.110157,2.131066,2.129004,3.108454,0.977388,21.346125,21.366798,31.166430,0.298530,1.800000,PSF-01225_20240711085609_7dd,142.914169,582.682007,0.754730,0.000000,0.000000,0.000000,0.5,0.80,2.698727,1.000000,66.94,66.87,25.02,24.62,24.62,99.74,155.7,153.8,1.2,9,4.063,08:54:16,2024-07-11,0.18,1,-0.002,-0.001,0.002,-0.004,-0.188,-0.306,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.460008,2.445873,1.657498,0.938936,0.272496,-0.003622,0.434524,0.113568,142.914169,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085609_7dd,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
19,08:58:27,2024-07-11,Hainich_TSM,Sharath,,001,030,15min,0.011277,2.914320,0.011233,0.110404,2.114697,2.112632,3.069470,0.954773,21.181917,21.202623,30.775484,0.298530,1.800000,PSF-01225_20240711085827_b3c,177.206039,761.729126,0.767363,0.000000,0.000000,0.000000,0.5,0.80,2.483969,1.000000,66.06,66.00,25.11,24.41,24.41,99.74,155.8,152.4,2.2,8,4.061,08:54:16,2024-07-11,0.18,1,0.001,-0.000,0.002,-0.060,-0.151,-0.236,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.458940,2.444794,1.658656,0.935384,0.271499,-0.007172,0.444069,0.112970,177.206039,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085827_b3c,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
20,08:59:27,2024-07-11,Hainich_TSM,Sharath,,002,030,15min,0.000792,2.915431,0.000792,0.007873,2.126394,2.126246,3.092574,0.966181,21.316448,21.317923,31.004259,0.298530,1.800000,PSF-01225_20240711085927_c81,118.508217,593.375061,0.800281,0.000000,0.000000,0.000000,0.5,0.80,2.462518,1.000000,66.30,66.30,25.14,24.53,24.53,99.75,155.9,139.0,10.8,8,4.060,08:54:16,2024-07-11,0.18,1,-0.001,0.000,-0.002,0.166,-0.014,-0.003,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.459302,2.445087,1.659814,0.901460,0.271167,-0.006070,0.448164,0.112687,118.508217,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711085927_c81,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
21,09:00:23,2024-07-11,Hainich_TSM,Sharath,,003,030,15min,0.010951,2.915561,0.010910,0.092875,2.124255,2.122519,2.951752,0.827497,21.279032,21.296432,29.592394,0.298530,1.800000,PSF-01225_20240711090023_dab,108.556870,552.492493,0.803514,0.000000,0.000000,0.000000,0.5,0.80,2.450667,1.000000,66.12,66.07,25.17,23.76,23.76,99.75,155.9,142.0,9.0,8,4.059,08:54:16,2024-07-11,0.18,1,-0.003,0.001,-0.002,0.088,-0.050,0.083,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.459023,2.444864,1.659949,0.908840,0.270858,-0.015443,0.451905,0.112639,108.556870,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711090023_dab,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
22,09:01:15,2024-07-11,Hainich_TSM,Sharath,,004,030,15min,0.012035,2.917578,0.011986,0.111629,2.120051,2.117969,3.025021,0.904970,21.234472,21.255354,30.328463,0.298530,1.800000,PSF-01225_20240711090115_36f,120.400787,612.899048,0.803555,0.000000,0.000000,0.000000,0.5,0.80,3.143387,1.000000,65.90,65.84,25.20,24.17,24.17,99.74,156.2,146.6,6.2,10,4.058,08:54:16,2024-07-11,0.18,1,-0.004,-0.001,0.002,0.065,-0.113,-0.068,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.458742,2.444593,1.662060,0.920459,0.270613,-0.010974,0.455329,0.114162,120.400787,0.000215,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240711090115_36f,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-07-10T17:26:45.161Z
